closetime,mc,cs,volume,,
2/27/2011,5811668.10,5534922,24432.1875,,
2/28/2011,5957721.48,5567964,4977.29118,,
3/1/2011,5814646.95,5537759,23698.27215,,
3/2/2011,5862653.78,5610195,2865.257285,,
3/3/2011,5801389.36,5578259,2856.5368,,
3/4/2011,4989540.41,5550718,2437.713427,,
3/5/2011,5269926.98,5553254,11929.2366,,
3/6/2011,4787211.05,5632013,10732.5182,,
3/7/2011,4696522.61,5627948,12743.87315,,
3/8/2011,4891019.81,5620376,3940.271776,,
3/9/2011,5084828.10,5649809,4091.4414,,
3/10/2011,5599052.36,5613479,8846.219637,,
3/11/2011,5158994.42,5662380,3394.313983,,
3/12/2011,5457868.74,5697149,4620.270182,,
3/13/2011,5051464.67,5675803,587.6759,,
3/14/2011,4852804.56,5642796,4531.5421,,
3/15/2011,5240622.53,5694967,2514.185515,,
3/16/2011,5312037.53,5651705,7453.045139,,
3/17/2011,5370749.62,5719100,6723.676861,,
3/18/2011,5122473.07,5684058,12820.67217,,
3/19/2011,5160185.75,5668665,8989.247091,,
3/20/2011,5138214.82,5709762,5233.205568,,
3/21/2011,5084109.79,5744627,3271.000289,,
3/22/2011,5010440.32,5759193,10568.39753,,
3/23/2011,4914792.50,5714875,11405.54102,,
3/24/2011,5328286.34,5711530,13069.33941,,
3/25/2011,5086370.08,5779966,4241.0852,,
3/26/2011,5338283.83,5815124,10792.39356,,
3/27/2011,5169614.45,5792350,4763.348541,,
3/28/2011,5149772.75,5754579,11244.55631,,
3/29/2011,5033173.59,5785257,3667.06479,,
3/30/2011,4940630.51,5744986,2767.637878,,
3/31/2011,4812991.00,5830960,5674.830184,,
4/1/2011,4703560.02,5760778,2601.93152,,
4/2/2011,4480156.71,5856414,1907.600175,,
4/3/2011,4316793.22,5825003,2913.470796,,
4/4/2011,4410031.62,5810548,23646.05796,,
4/5/2011,4741241.94,5860548,7871.91243,,
4/6/2011,4931348.07,5803566,7395.829956,,
4/7/2011,5102355.12,5885884,9390.904105,,
4/8/2011,5231959.05,5920046,16091.06552,,
4/9/2011,5020288.26,5870309,10364.50831,,
4/10/2011,4795236.46,5833621,4396.86156,,
4/11/2011,4747936.25,5942497,11701.80116,,
4/12/2011,4660739.26,5881059,38370.94879,,
4/13/2011,4635561.90,5870029,34271.05155,,
4/14/2011,4602159.77,5865538,24410.68981,,
4/15/2011,4615531.79,5962372,38941.30242,,
4/16/2011,4634968.90,5927146,22575.50313,,
4/17/2011,4645087.42,5962885,18871.81952,,
4/18/2011,4050499.56,5956617,18685.5092,,
4/19/2011,4247787.29,5982799,8915.27972,,
4/20/2011,4448074.88,6010912,15795.26522,,
4/21/2011,4534354.25,6015328,29621.09414,,
4/22/2011,4469018.95,5959566,29557.20681,,
4/23/2011,4380794.24,6001088,48632.86134,,
4/24/2011,4419336.68,5997200,15874.07283,,
4/25/2011,4646518.80,6034440,10373.13354,,
4/26/2011,5184060.22,6027977,20686.70746,,
4/27/2011,5615421.71,6087178,30493.47366,,
4/28/2011,6049577.00,6049577,100238.232,,
4/29/2011,5985287.88,6046295,56996.3688,,
4/30/2011,6396713.13,6092688,68692.64407,,
5/1/2011,6694485.44,6018597,50912.27791,,
5/2/2011,6993612.28,6018651,21303.72828,,
5/3/2011,7228950.29,6041747,20243.79767,,
5/4/2011,7012382.07,6139902,19733.53272,,
5/5/2011,7455926.83,6161923,18573.91261,,
5/6/2011,8669269.37,6152738,32427.93963,,
5/7/2011,10386898.66,6109581,30318.37463,,
5/8/2011,10057235.37,6165922,34469.24359,,
5/9/2011,9547969.22,6124419,17961.12363,,
5/10/2011,10994639.98,6125523,100903.9127,,
5/11/2011,11779610.50,6199795,99881.3774,,
5/12/2011,13695299.18,6195314,70125.36169,,
5/13/2011,17984669.76,6244677,184329.7142,,
5/14/2011,21753725.00,6215350,193866.5785,,
5/15/2011,18719511.72,6171722,55490.35315,,
5/16/2011,20081520.00,6275475,141252.496,,
5/17/2011,21079924.36,6181796,120528.0016,,
5/18/2011,21421591.45,6289203,86526.38592,,
5/19/2011,20982241.57,6295302,81446.5512,,
5/20/2011,21559628.24,6245547,153477.4216,,
5/21/2011,22855398.07,6277231,113278.4352,,
5/22/2011,24561373.24,6353339,92287.36015,,
5/23/2011,23874138.40,6282668,134063.544,,
5/24/2011,37022296.08,6372168,170131.203,,
5/25/2011,34734601.00,6315382,352274.681,,
5/26/2011,40037115.23,6354906,180468.8795,,
5/27/2011,51868737.80,6326999,118312.2079,,
5/28/2011,46021590.80,6393939,88155.30616,,
5/29/2011,44185054.72,6323886,52315.51686,,
5/30/2011,51265200.00,6408150,141441.208,,
5/31/2011,46349357.16,6446364,329261.9158,,
6/1/2011,43693765.44,6350838,299142.1248,,
6/2/2011,43908189.13,6446185,279593.4455,,
6/3/2011,35806224.33,6404960,407988.0151,,
6/4/2011,39705810.63,6488185,272176.2013,,
6/5/2011,42912027.45,6414258,162428.7506,,
6/6/2011,45801193.77,6405842,393906.2308,,
6/7/2011,48322972.60,6512530,398565.5745,,
6/8/2011,53830040.23,6408567,881339.8413,,
6/9/2011,57106797.43,6490884,553690.3407,,
6/10/2011,55268691.41,6502046,783788.1416,,
6/11/2011,54018295.82,6508150,1011532.955,,
6/12/2011,54647981.65,6482637,1274551.633,,
6/13/2011,57186747.20,6498494,646111.7608,,
6/14/2011,57625706.82,6592576,316039.5086,,
6/15/2011,62817546.99,6564007,265202.8639,,
6/16/2011,69966317.60,6600596,521542.631,,
6/17/2011,93657374.50,6554050,1552233.716,,
6/18/2011,124069284.00,6599430,668087.1776,,
6/19/2011,110231823.60,6600708,503951.5413,,
6/20/2011,121948637.89,6574086,279248.7758,,
6/21/2011,157116187.87,6567469,752451.628,,
6/22/2011,195544615.20,6606237,722184.8251,,
6/23/2011,192736719.57,6664709,608552.9529,,
6/24/2011,160164145.64,6687522,837309.7851,,
6/25/2011,98075020.14,6694038,487653.7217,,
6/26/2011,123645695.91,6666830,360834.9355,,
6/27/2011,131708514.56,6638534,333425.7584,,
6/28/2011,128170008.16,6647822,1008199.79,,
6/29/2011,130476604.09,6694541,1639162.83,,
6/30/2011,113217076.00,6659828,1901380.815,,
7/1/2011,105778349.48,6745638,854241.6358,,
7/2/2011,114520060.83,6780347,588876.8513,,
7/3/2011,117702675.26,6722026,208765.5225,,
7/4/2011,112160612.85,6696140,758624.1807,,
7/5/2011,113215019.56,6679431,833692.4864,,
7/6/2011,113567575.02,6741916,444597.1282,,
7/7/2011,108852671.81,6760624,167168.0198,,
7/8/2011,104585138.70,6792566,272718.4284,,
7/9/2011,104605839.80,6792587,382628.1976,,
7/10/2011,104976401.96,6798774,267509.6323,,
7/11/2011,93417550.38,6740083,477243.7616,,
7/12/2011,88400213.91,6849061,980274.7659,,
7/13/2011,99835034.78,6753153,999231.4692,,
7/14/2011,99850432.95,6757568,343248.1037,,
7/15/2011,97086898.79,6782658,358546.9573,,
7/16/2011,97489655.78,6779531,218779.0097,,
7/17/2011,101201843.00,6792070,335367.4562,,
7/18/2011,96853084.71,6816262,378793.2191,,
7/19/2011,96532159.54,6890513,431050.282,,
7/20/2011,95017974.68,6810841,235657.3109,,
7/21/2011,95216163.84,6806016,161872.4114,,
7/22/2011,95215226.98,6894658,453262.1555,,
7/23/2011,93867069.98,6842072,100396.7765,,
7/24/2011,90603810.08,6884788,80863.12878,,
7/25/2011,92499328.64,6861968,618140.6046,,
7/26/2011,94778217.24,6843074,302270.0365,,
7/27/2011,93966218.80,6864144,785846.9758,,
7/28/2011,93553915.10,6873910,1230113.337,,
7/29/2011,94271519.67,6883434,686259.4111,,
7/30/2011,94525010.64,6909723,422693.6827,,
7/31/2011,97779069.82,6994206,1433575.535,,
8/1/2011,97049872.50,6908546,1264565.964,,
8/2/2011,96001828.11,6915492,473860.435,,
8/3/2011,98013566.86,7031405,1597014.21,,
8/4/2011,93981400.95,6966689,328065.3234,,
8/5/2011,94925342.60,7032382,788007.6788,,
8/6/2011,94410139.27,6977662,563727.6469,,
8/7/2011,92600098.95,6936337,397884.0311,,
8/8/2011,91348086.74,6976012,579181.638,,
8/9/2011,84435928.55,7007131,461741.028,,
8/10/2011,64806748.94,6998569,142514.4464,,
8/11/2011,75685858.75,7040545,247203.7102,,
8/12/2011,68750610.46,7015440,81758.54628,,
8/13/2011,46127366.30,7042346,222275.4944,,
8/14/2011,55458323.90,7020041,79336.26111,,
8/15/2011,54503087.91,6987656,68866.42688,,
8/16/2011,71269509.15,7134085,370540.5213,,
8/17/2011,70511703.98,7065301,128099.5207,,
8/18/2011,67305077.86,7112837,74809.9226,,
8/19/2011,66656350.49,7045746,526616.6936,,
8/20/2011,71284613.47,7036286,842736.4167,,
8/21/2011,76729466.14,7107410,238253.9366,,
8/22/2011,78674713.36,7056161,270057.6649,,
8/23/2011,77994863.29,7113665,238561.6984,,
8/24/2011,77554289.54,7085463,130118.2496,,
8/25/2011,76970494.74,7107149,213867.7147,,
8/26/2011,82950166.90,7120186,139701.7904,,
8/27/2011,81044554.67,7076273,194178.1516,,
8/28/2011,81004012.48,7161367,80740.12666,,
8/29/2011,78519382.51,7206919,216075.375,,
8/30/2011,79104433.55,7230746,339591.5213,,
8/31/2011,77041213.11,7100180,898307.5343,,
9/1/2011,69328258.40,7179053,481867.9815,,
9/2/2011,59177829.39,7234993,262635.9611,,
9/3/2011,61903850.33,7206334,1873617.087,,
9/4/2011,64744086.87,7138181,406082.0423,,
9/5/2011,64098178.28,7146636,1266063.191,,
9/6/2011,63153918.38,7183651,565093.8644,,
9/7/2011,58822177.81,7173865,214275.549,,
9/8/2011,58813566.50,7163650,372914.203,,
9/9/2011,61903621.44,7164771,767420.5201,,
9/10/2011,61255246.08,7223496,275151.2246,,
9/11/2011,59835867.16,7316705,189823.658,,
9/12/2011,55203028.47,7253049,359837.5703,,
9/13/2011,49446199.49,7204960,363883.6697,,
9/14/2011,52231998.45,7268173,864795.3203,,
9/15/2011,47754438.52,7313084,471283.2544,,
9/16/2011,36342338.51,7225117,177317.4182,,
9/17/2011,34666390.94,7261650,276521.985,,
9/18/2011,42365694.69,7224278,120419.2405,,
9/19/2011,44302499.45,7288993,74590.69791,,
9/20/2011,42757652.20,7372009,342705.3928,,
9/21/2011,40903676.50,7279115,181660.5595,,
9/22/2011,35216904.80,7276220,170386.0814,,
9/23/2011,35294054.76,7322418,81676.80028,,
9/24/2011,35098680.78,7358214,204877.5924,,
9/25/2011,38367180.80,7378304,124744.8674,,
9/26/2011,40358488.38,7391651,60199.39154,,
9/27/2011,45303420.51,7412318,119964.9743,,
9/28/2011,41122493.98,7328384,112082.3711,,
9/29/2011,39906860.32,7352295,111992.3911,,
9/30/2011,40848246.08,7366495,319722.9024,,
10/1/2011,40046540.61,7323412,542498.1841,,
10/2/2011,39353356.77,7383369,215503.8147,,
10/3/2011,35835060.16,7358797,186686.8012,,
10/4/2011,36597005.75,7445074,86695.84945,,
10/5/2011,35109887.76,7356754,200497.6827,,
10/6/2011,35222772.38,7369783,330681.9526,,
10/7/2011,38214266.39,7434552,106034.2533,,
10/8/2011,37066009.53,7365459,107786.2615,,
10/9/2011,37027965.34,7365803,216277.6527,,
10/10/2011,37066387.15,7377849,189359.4261,,
10/11/2011,37030740.00,7465875,1037880.985,,
10/12/2011,36264679.02,7446546,431804.2897,,
10/13/2011,35249838.75,7445424,486966.6462,,
10/14/2011,31698899.09,7418765,211063.3804,,
10/15/2011,30033111.10,7494170,295924.897,,
10/16/2011,30766028.29,7498642,498375.2528,,
10/17/2011,30553884.70,7452167,155154.4761,,
10/18/2011,29443067.78,7490350,365077.9642,,
10/19/2011,31380117.10,7561474,424895.2019,,
10/20/2011,30336001.53,7497498,121804.7204,,
10/21/2011,29965379.06,7514056,237423.2508,,
